"ts","eventId","Transform"
2024-10-17T21:56:58.010Z,0,"{""position"":{""x"":-0.00130017439,""y"":1.41341424,""z"":-0.0302190054},""rotation"":{""x"":0.04802714,""y"":0.026605526,""z"":0.0183569547,""w"":0.998322964},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.024Z,0,"{""position"":{""x"":-0.00106235209,""y"":1.41345477,""z"":-0.0302458052},""rotation"":{""x"":0.04843469,""y"":0.02771216,""z"":0.0180478562,""w"":0.998278737},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.038Z,0,"{""position"":{""x"":-0.0007723699,""y"":1.4134922,""z"":-0.0302750412},""rotation"":{""x"":0.04833193,""y"":0.02926,""z"":0.0183058511,""w"":0.998234868},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.052Z,0,"{""position"":{""x"":-0.000458915136,""y"":1.41354322,""z"":-0.0302789789},""rotation"":{""x"":0.04810975,""y"":0.0312888,""z"":0.0186525527,""w"":0.9981776},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.067Z,0,"{""position"":{""x"":-8.46430048E-05,""y"":1.4135561,""z"":-0.0302769076},""rotation"":{""x"":0.047837574,""y"":0.0336948223,""z"":0.01902326,""w"":0.998105347},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.082Z,0,"{""position"":{""x"":0.000315153535,""y"":1.41347313,""z"":-0.0302549265},""rotation"":{""x"":0.04791485,""y"":0.0358433127,""z"":0.018599527,""w"":0.998034835},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.094Z,0,"{""position"":{""x"":0.0006071073,""y"":1.41328764,""z"":-0.0302279424},""rotation"":{""x"":0.0487229228,""y"":0.0371033177,""z"":0.0170751046,""w"":0.9979769},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.113Z,0,"{""position"":{""x"":0.000804885058,""y"":1.41340458,""z"":-0.0302902441},""rotation"":{""x"":0.0493305027,""y"":0.0377579555,""z"":0.0152528575,""w"":0.997952044},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.123Z,0,"{""position"":{""x"":0.0011193247,""y"":1.41334963,""z"":-0.03022732},""rotation"":{""x"":0.04932377,""y"":0.03825718,""z"":0.0148094436,""w"":0.99794},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.138Z,0,"{""position"":{""x"":0.00157029578,""y"":1.41325235,""z"":-0.03017826},""rotation"":{""x"":0.0487167947,""y"":0.0389786474,""z"":0.015203218,""w"":0.997935951},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.150Z,0,"{""position"":{""x"":0.002006082,""y"":1.41306508,""z"":-0.0301190261},""rotation"":{""x"":0.0486240871,""y"":0.04027201,""z"":0.01553869,""w"":0.997884},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.166Z,0,"{""position"":{""x"":0.00234837085,""y"":1.4130069,""z"":-0.0302323345},""rotation"":{""x"":0.0498376563,""y"":0.0415758863,""z"":0.0151510369,""w"":0.9977766},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.180Z,0,"{""position"":{""x"":0.002729941,""y"":1.41299367,""z"":-0.03032836},""rotation"":{""x"":0.0513989925,""y"":0.0430017971,""z"":0.01414955,""w"":0.9976517},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.193Z,0,"{""position"":{""x"":0.00330197532,""y"":1.41280711,""z"":-0.0303545669},""rotation"":{""x"":0.0525822863,""y"":0.0445738249,""z"":0.0131249391,""w"":0.99753505},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.207Z,0,"{""position"":{""x"":0.00396644371,""y"":1.41234612,""z"":-0.0302590188},""rotation"":{""x"":0.0531143025,""y"":0.046775803,""z"":0.0120649114,""w"":0.997419357},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.222Z,0,"{""position"":{""x"":0.00451830868,""y"":1.41185474,""z"":-0.0302279368},""rotation"":{""x"":0.05406428,""y"":0.0490451343,""z"":0.0104775131,""w"":0.99727726},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.236Z,0,"{""position"":{""x"":0.005076051,""y"":1.41165543,""z"":-0.0302599315},""rotation"":{""x"":0.05623892,""y"":0.05113292,""z"":0.008039443,""w"":0.9970748},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.251Z,0,"{""position"":{""x"":0.00560051575,""y"":1.41165864,""z"":-0.0302488767},""rotation"":{""x"":0.0581728928,""y"":0.0529762022,""z"":0.005979922,""w"":0.996881962},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.264Z,0,"{""position"":{""x"":0.006317729,""y"":1.41145265,""z"":-0.03008549},""rotation"":{""x"":0.05837627,""y"":0.0547090173,""z"":0.004663824,""w"":0.996783555},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.279Z,0,"{""position"":{""x"":0.00711215,""y"":1.41121662,""z"":-0.0299511831},""rotation"":{""x"":0.0590324365,""y"":0.05698405,""z"":0.003793585,""w"":0.9966211},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.294Z,0,"{""position"":{""x"":0.007995031,""y"":1.41106713,""z"":-0.0299638584},""rotation"":{""x"":0.06083188,""y"":0.06005391,""z"":0.00272770948,""w"":0.9963361},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.306Z,0,"{""position"":{""x"":0.008956484,""y"":1.41079128,""z"":-0.0298859123},""rotation"":{""x"":0.0622806661,""y"":0.06418027,""z"":0.000963927363,""w"":0.995992541},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.323Z,0,"{""position"":{""x"":0.009999701,""y"":1.410745,""z"":-0.0299023334},""rotation"":{""x"":0.06447567,""y"":0.06912464,""z"":-0.00131857465,""w"":0.9955214},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.336Z,0,"{""position"":{""x"":0.0111990431,""y"":1.41047347,""z"":-0.0299495626},""rotation"":{""x"":0.06643662,""y"":0.07390046,""z"":-0.00349294022,""w"":0.995044053},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.348Z,0,"{""position"":{""x"":0.012585721,""y"":1.41005576,""z"":-0.0300357062},""rotation"":{""x"":0.06858331,""y"":0.0796712562,""z"":-0.00550973462,""w"":0.994443834},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.363Z,0,"{""position"":{""x"":0.0142126381,""y"":1.40968168,""z"":-0.0300883316},""rotation"":{""x"":0.07081338,""y"":0.08707077,""z"":-0.007555133,""w"":0.9936534},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.376Z,0,"{""position"":{""x"":0.0160516631,""y"":1.40921378,""z"":-0.0302618761},""rotation"":{""x"":0.07296875,""y"":0.09609249,""z"":-0.009507298,""w"":0.9926487},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.391Z,0,"{""position"":{""x"":0.0179521125,""y"":1.40875506,""z"":-0.0304634813},""rotation"":{""x"":0.07520535,""y"":0.10693761,""z"":-0.01151543,""w"":0.9913506},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.405Z,0,"{""position"":{""x"":0.0200048834,""y"":1.40823519,""z"":-0.0306608789},""rotation"":{""x"":0.07747497,""y"":0.11906486,""z"":-0.0129469205,""w"":0.9897746},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.419Z,0,"{""position"":{""x"":0.022253057,""y"":1.40760911,""z"":-0.030858323},""rotation"":{""x"":0.0800951049,""y"":0.131218717,""z"":-0.01396235,""w"":0.9880139},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.433Z,0,"{""position"":{""x"":0.0245262571,""y"":1.4069252,""z"":-0.0311248358},""rotation"":{""x"":0.08294427,""y"":0.142764032,""z"":-0.0155449463,""w"":0.986152649},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.446Z,0,"{""position"":{""x"":0.02671674,""y"":1.40638745,""z"":-0.0313652754},""rotation"":{""x"":0.08555752,""y"":0.153664321,""z"":-0.0185011867,""w"":0.984238267},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.461Z,0,"{""position"":{""x"":0.0289876256,""y"":1.405794,""z"":-0.0315539949},""rotation"":{""x"":0.08741375,""y"":0.164096683,""z"":-0.02192738,""w"":0.982318938},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.473Z,0,"{""position"":{""x"":0.0314378738,""y"":1.40527463,""z"":-0.03179215},""rotation"":{""x"":0.08946082,""y"":0.174758255,""z"":-0.0242336132,""w"":0.980239332},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.491Z,0,"{""position"":{""x"":0.0340688229,""y"":1.40470481,""z"":-0.03207369},""rotation"":{""x"":0.091014035,""y"":0.1862744,""z"":-0.0248926263,""w"":0.9779564},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.505Z,0,"{""position"":{""x"":0.0368495621,""y"":1.40421224,""z"":-0.0325924568},""rotation"":{""x"":0.0920730755,""y"":0.198816061,""z"":-0.0250595678,""w"":0.9753803},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.519Z,0,"{""position"":{""x"":0.0396804325,""y"":1.40356994,""z"":-0.03296098},""rotation"":{""x"":0.092688,""y"":0.21330221,""z"":-0.026598094,""w"":0.9722159},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.529Z,0,"{""position"":{""x"":0.04232178,""y"":1.40304089,""z"":-0.0335970223},""rotation"":{""x"":0.09410146,""y"":0.226624489,""z"":-0.0295278262,""w"":0.968975961},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.547Z,0,"{""position"":{""x"":0.04468789,""y"":1.40253019,""z"":-0.03428252},""rotation"":{""x"":0.09582905,""y"":0.239432976,""z"":-0.0332482643,""w"":0.965599954},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.557Z,0,"{""position"":{""x"":0.0471686646,""y"":1.40214252,""z"":-0.0349844769},""rotation"":{""x"":0.0976479948,""y"":0.251554638,""z"":-0.03621008,""w"":0.9622235},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.571Z,0,"{""position"":{""x"":0.04991127,""y"":1.401699,""z"":-0.03574005},""rotation"":{""x"":0.0982890353,""y"":0.264200449,""z"":-0.0374284,""w"":0.9587161},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
